description,category
Paid 650 for spotify premium,Subscriptions
MYNTRA PURCHASE,Shopping
Croma order payment of 349,Shopping
club entry fee,Entertainment
metro card recharge 1999,Travel
Paid 349 for myntra purchase,Shopping
rent payment payment of 2500,Bills & Utilities
video game purchase 1200,Entertainment
Blinkit order payment of 150,Food
Swiggy Instamart,Food
TUITION FEE PAYMENT,Education
PRACTO CONSULTATION,Health
sports shoes order,Shopping
flight booking SpiceJet payment of 899,Travel
gym membership fee payment of 99,Subscriptions
Paid 150 for spotify premium,Subscriptions
miscellaneous payment 899,Other
school fee payment,Education
ICE CREAM PARLOUR,Food
INOX movie ticket,Entertainment
food court payment of 349,Food
exam fee payment,Education
Audible subscription 250,Subscriptions
OTT platform subscription payment of 349,Subscriptions
Paid 2500 for parking fee,Travel
bus ticket RedBus,Travel
Paid 250 for bank service charge,Other
PlayStation store purchase 250,Entertainment
rent payment 1200,Bills & Utilities
gym membership fee,Subscriptions
courier service fee 99,Other
mobile phone purchase payment of 650,Shopping
doctor consultation fee payment of 1999,Health
IRCTC train ticket payment of 650,Travel
online course Udemy payment of 2500,Education
internet bill,Bills & Utilities
AIRPORT CAB,Travel
Paid 2500 for airport cab,Travel
monthly metro pass,Travel
software license renewal,Subscriptions
Paid 499 for concert ticket,Entertainment
insurance premium 1200,Bills & Utilities
Paid 349 for health checkup package,Health
Practo consultation,Health
Rapido bike ride 1999,Travel
stationery purchase,Education
gift to friend,Other
bowling alley payment of 99,Entertainment
HEALTH CHECKUP PACKAGE,Health
amusement park entry payment of 899,Entertainment
credit card bill payment,Bills & Utilities
AIRPORT CAB,Travel
Paid 1200 for stationery purchase,Education
Rapido bike ride,Travel
insurance premium,Bills & Utilities
ICLOUD STORAGE PLAN,Subscriptions
MUSIC STREAMING PLAN,Subscriptions
Paid 150 for property tax payment,Bills & Utilities
donation to charity payment of 1999,Other
AJIO ORDER,Shopping
electronics store payment of 1999,Shopping
dental clinic visit payment of 499,Health
dry cleaning service payment of 250,Other
Practo consultation 250,Health
Spotify premium payment of 99,Subscriptions
school fee payment payment of 349,Education
RELIANCE DIGITAL,Shopping
Paid 250 for magazine subscription,Subscriptions
lost item replacement payment of 1999,Other
Hotstar subscription,Subscriptions
Paid 899 for pvr cinema ticket,Entertainment
Paid 899 for coursera subscription,Education
cash transfer to family payment of 499,Other
Starbucks coffee payment of 2500,Food
SHOE STORE,Shopping
spa treatment payment of 1200,Other
lab test payment 150,Health
Hotstar subscription 99,Subscriptions
canteen lunch,Food
Hotstar subscription,Subscriptions
Paid 250 for atm cash withdrawal,Other
ATM cash withdrawal 2500,Other
electricity bill payment 1999,Bills & Utilities
PHYSIOTHERAPY SESSION,Health
electricity bill payment 99,Bills & Utilities
Netflix subscription payment of 99,Subscriptions
Paid 349 for apollo pharmacy,Health
photocopy and printing payment of 250,Other
TEA STALL,Food
flight booking IndiGo 1200,Travel
Paid 899 for amusement park entry,Entertainment
club entry fee,Entertainment
Paid 899 for broadband bill,Bills & Utilities
dry cleaning service,Other
comedy show ticket 150,Entertainment
Paid 499 for dry cleaning service,Other
Paid 1999 for electronics store,Shopping
supermarket shopping,Shopping
health checkup package payment of 899,Health
MYNTRA PURCHASE,Shopping
ATM CASH WITHDRAWAL,Other
textbook purchase,Education
ZOMATO ORDER,Food
gas cylinder booking payment of 899,Bills & Utilities
Paid 1200 for pet store purchase,Other
Apollo Pharmacy 650,Health
TEXTBOOK PURCHASE,Education
UBER RIDE,Travel
clothing store purchase 899,Shopping
credit card bill payment 349,Bills & Utilities
Paid 2500 for video game purchase,Entertainment
COLLEGE SEMESTER FEE,Education
LOST ITEM REPLACEMENT,Other
stationery purchase payment of 1200,Education
FURNITURE STORE,Shopping
local restaurant bill payment of 99,Food
Ajio order payment of 250,Shopping
Paid 150 for video game purchase,Entertainment
video game purchase 1200,Entertainment
flight booking SpiceJet 899,Travel
Paid 349 for home decor purchase,Shopping
Paid 1200 for diagnostic center,Health
Spotify premium payment of 2500,Subscriptions
HOTSTAR SUBSCRIPTION,Subscriptions
hospital bill 1200,Health
TOLL PLAZA PAYMENT,Travel
bike service,Travel
exam fee payment payment of 250,Education
food court,Food
POSTPAID MOBILE BILL,Bills & Utilities
Paid 1999 for mcdonald's,Food
Paid 499 for clothing store purchase,Shopping
Paid 1999 for gaming purchase steam,Entertainment
gas cylinder booking payment of 150,Bills & Utilities
SHOE STORE,Shopping
canteen lunch 1200,Food
Paid 150 for photocopy and printing,Other
workshop registration fee 2500,Education
PRACTO CONSULTATION,Health
SPOTIFY PREMIUM,Subscriptions
Paid 899 for pharmacy purchase,Health
Cafe Coffee Day 99,Food
Cafe Coffee Day 250,Food
Paid 1200 for photocopy and printing,Other
Paid 349 for club entry fee,Entertainment
sports shoes order payment of 1999,Shopping
Paid 650 for salon haircut,Other
PHYSIOTHERAPY SESSION,Health
Domino's Pizza,Food
Paid 650 for dental clinic visit,Health
Apollo Pharmacy payment of 2500,Health
Paid 349 for hotstar subscription,Subscriptions
TEA STALL,Food
LOST ITEM REPLACEMENT,Other
Paid 250 for petrol pump fuel,Travel
EYE CHECKUP,Health
Flipkart order,Shopping
doctor consultation fee payment of 899,Health
newspaper subscription payment of 1999,Subscriptions
gift to friend 1999,Other
FLIPKART ORDER,Shopping
certification exam fee payment of 899,Education
Blinkit order,Food
cloud storage plan 250,Subscriptions
monthly metro pass 1999,Travel
Paid 2500 for swiggy instamart,Food
SPA TREATMENT,Other
Paid 250 for property tax payment,Bills & Utilities
Paid 150 for stationery purchase,Education
Paid 99 for cloud storage plan,Subscriptions
Paid 99 for pet store purchase,Other
monthly metro pass,Travel
ice cream parlour payment of 1999,Food
dhaba meal,Food
DONATION TO CHARITY,Other
local restaurant bill,Food
Amazon order 150,Shopping
library fine 499,Education
Coursera subscription,Education
IRCTC train ticket 349,Travel
Paid 150 for taxi fare,Travel
Rapido bike ride 99,Travel
medicine purchase payment of 899,Health
college semester fee payment of 250,Education
lab test payment 150,Health
music streaming plan,Subscriptions
medicine purchase,Health
Paid 1999 for coursera subscription,Education
AIRPORT CAB,Travel
Paid 499 for mobile phone purchase,Shopping
Croma order 1200,Shopping
tuition fee payment,Education
textbook purchase,Education
Paid 1200 for starbucks coffee,Food
MOBILE RECHARGE,Bills & Utilities
electronics store 499,Shopping
Paid 1999 for gym membership fee,Subscriptions
LOCAL RESTAURANT BILL,Food
clothing store purchase,Shopping
skill course payment payment of 2500,Education
dhaba meal payment of 899,Food
credit card bill payment 899,Bills & Utilities
comedy show ticket payment of 499,Entertainment
BigBasket order 650,Food
INTERNET BILL,Bills & Utilities
school fee payment payment of 349,Education
rent payment payment of 2500,Bills & Utilities
Paid 899 for event ticket booking,Entertainment
salon haircut,Other
Paid 1999 for mobile recharge,Bills & Utilities
lost item replacement,Other
COACHING CLASS FEE,Education
Paid 2500 for miscellaneous payment,Other
magazine subscription 1999,Subscriptions
bike service payment of 99,Travel
COACHING CLASS FEE,Education
auto rickshaw fare 99,Travel
Amazon order payment of 899,Shopping
music concert,Entertainment
textbook purchase 150,Education
OLA RENTAL,Travel
Paid 899 for video game purchase,Entertainment
gas cylinder booking,Bills & Utilities
college semester fee 499,Education
gaming purchase Steam 899,Entertainment
SOFTWARE LICENSE RENEWAL,Subscriptions
club entry fee 250,Entertainment
AMAZON PRIME RENEWAL,Subscriptions
grocery store - vegetables,Food
Paid 1999 for water tanker payment,Bills & Utilities
mobile recharge 250,Bills & Utilities
water bill payment payment of 349,Bills & Utilities
Paid 349 for gaming purchase steam,Entertainment
gift to friend payment of 899,Other
MCDONALD'S,Food
Rapido bike ride payment of 99,Travel
Ajio order 2500,Shopping
skill course payment,Education
Paid 99 for bowling alley,Entertainment
STARBUCKS COFFEE,Food
VET VISIT,Other
INSURANCE PREMIUM,Bills & Utilities
Ola rental 899,Travel
Paid 899 for clinic visit fee,Health
Paid 499 for furniture store,Shopping
iCloud storage plan payment of 650,Subscriptions
gift purchase 1999,Shopping
highway fuel station payment of 250,Travel
Paid 250 for local restaurant bill,Food
college semester fee payment of 499,Education
event ticket booking 899,Entertainment
Flipkart order,Shopping
CERTIFICATION EXAM FEE,Education
cash transfer to family,Other
MUSIC CONCERT,Entertainment
stationery purchase,Education
Netflix subscription,Subscriptions
club entry fee,Entertainment
Coursera subscription,Education
lottery ticket 150,Other
gaming purchase Steam,Entertainment
BAKERY PURCHASE,Food
Ajio order 349,Shopping
certification exam fee,Education
comedy show ticket,Entertainment
Zomato order,Food
clinic visit fee payment of 349,Health
AMUSEMENT PARK ENTRY,Entertainment
NETFLIX SUBSCRIPTION,Subscriptions
MOVIE TICKET BOOKMYSHOW,Entertainment
AJIO ORDER,Shopping
Paid 499 for skill course payment,Education
ambulance fee 1200,Health
Amazon Prime renewal payment of 899,Subscriptions
lottery ticket payment of 1200,Other
Rapido bike ride,Travel
Paid 250 for flipkart order,Shopping
Paid 899 for shoe store,Shopping
jewellery store 1200,Shopping
BANK SERVICE CHARGE,Other
DENTAL CLINIC VISIT,Health
OTT platform subscription payment of 250,Subscriptions
monthly metro pass 1200,Travel
Paid 499 for movie ticket bookmyshow,Entertainment
Paid 1999 for water tanker payment,Bills & Utilities
postpaid mobile bill 899,Bills & Utilities
Netflix subscription payment of 150,Subscriptions
BLINKIT ORDER,Food
maintenance society fee payment of 2500,Bills & Utilities
canteen lunch 650,Food
BigBasket order payment of 2500,Food
iCloud storage plan payment of 650,Subscriptions
AJIO ORDER,Shopping
theme park,Entertainment
DRY CLEANING SERVICE,Other
IRCTC TRAIN TICKET,Travel
Paid 650 for gaming purchase steam,Entertainment
flight booking IndiGo,Travel
Amazon order payment of 1999,Shopping
cloud storage plan payment of 150,Subscriptions
Audible subscription payment of 349,Subscriptions
Cafe Coffee Day 250,Food
vet visit,Other
lab test payment payment of 1200,Health
DIAGNOSTIC CENTER,Health
ATM cash withdrawal,Other
WATER TANKER PAYMENT,Bills & Utilities
Apollo Pharmacy payment of 499,Health
DTH recharge 499,Bills & Utilities
Paid 250 for petrol pump fuel,Travel
PlayStation store purchase 99,Entertainment
internet bill payment of 150,Bills & Utilities
Paid 1999 for gym membership fee,Subscriptions
CLINIC VISIT FEE,Health
Blinkit order 650,Food
Ola cab payment of 899,Travel
ARCADE GAMES,Entertainment
HIGHWAY FUEL STATION,Travel
Paid 1999 for starbucks coffee,Food
Paid 499 for lost item replacement,Other
diagnostic center payment of 2500,Health
DONATION TO CHARITY,Other
movie ticket BookMyShow,Entertainment
taxi fare 349,Travel
CREDIT CARD BILL PAYMENT,Bills & Utilities
school fee payment 150,Education
pharmacy purchase payment of 1200,Health
Paid 1999 for bike service,Travel
BigBasket order 2500,Food
vitamins purchase payment of 150,Health
Paid 899 for toll plaza payment,Travel
broadband bill payment of 499,Bills & Utilities
insurance premium payment of 349,Bills & Utilities
Practo consultation payment of 99,Health
Paid 499 for rent payment,Bills & Utilities
Paid 499 for blinkit order,Food
Paid 349 for music concert,Entertainment
clothing store purchase payment of 499,Shopping
insurance premium payment of 150,Bills & Utilities
TUITION FEE PAYMENT,Education
Google One subscription,Subscriptions
Paid 2500 for flipkart order,Shopping
rent payment 250,Bills & Utilities
INOX MOVIE TICKET,Entertainment
insurance premium 499,Bills & Utilities
CLINIC VISIT FEE,Health
online course Udemy 1999,Education
Paid 650 for internet bill,Bills & Utilities
broadband bill 349,Bills & Utilities
diagnostic center 1200,Health
DENTAL CLINIC VISIT,Health
concert ticket,Entertainment
Paid 150 for irctc train ticket,Travel
Paid 1999 for practo consultation,Health
PHOTOCOPY AND PRINTING,Other
Paid 1999 for college semester fee,Education
certification exam fee 150,Education
NETFLIX SUBSCRIPTION,Subscriptions
gym membership fee 499,Subscriptions
Cafe Coffee Day 349,Food
